
#####
##### DOWNLOADS
#####

# 2016-06-29
Item,Value,Value Percent,Conversions,Conversion Percent,URL,Stats URL
"The Freedom Philosophy",2,0,,,"https://fee.org/media/14988/thefreedomphilosophy.pdf","http://clicky.com/stats/visitors?site_id=100931785&date=2016-06-29&href=https%3A%2F%2Ffee.org%2Fmedia%2F14988%2Fthefreedomphilosophy.pdf"
"Great Myths of the Great Depression (MP3)",2,0,,,"https://fee.org/media/14902/reed-greatmyths.mp3","http://clicky.com/stats/visitors?site_id=100931785&date=2016-06-29&href=https%3A%2F%2Ffee.org%2Fmedia%2F14902%2Freed-greatmyths.mp3"
"20130926_SacrificingLivesForProfits",2,0,,,"https://fee.org/media/5106/20130926_sacrificinglivesforprofits.mp3","http://clicky.com/stats/visitors?site_id=100931785&date=2016-06-29&href=https%3A%2F%2Ffee.org%2Fmedia%2F5106%2F20130926_sacrificinglivesforprofits.mp3"
"Essays On Liberty (ePub)",2,0,,,"https://fee.org/media/14890/essaysonliberty.epub","http://clicky.com/stats/visitors?site_id=100931785&date=2016-06-29&href=https%3A%2F%2Ffee.org%2Fmedia%2F14890%2Fessaysonliberty.epub"
"The Law (PDF)",2,0,,,"https://fee.org/media/14951/thelaw.pdf","http://clicky.com/stats/visitors?site_id=100931785&date=2016-06-29&href=https%3A%2F%2Ffee.org%2Fmedia%2F14951%2Fthelaw.pdf"
"Essays On Liberty (PDF)",2,0,,,"https://fee.org/media/14930/essaysonliberty.pdf","http://clicky.com/stats/visitors?site_id=100931785&date=2016-06-29&href=https%3A%2F%2Ffee.org%2Fmedia%2F14930%2Fessaysonliberty.pdf"
"Rendering Unto Caesar (PDF)",2,0,,,"https://fee.org/media/14934/reed_rendering_unto_caesar.pdf","http://clicky.com/stats/visitors?site_id=100931785&date=2016-06-29&href=https%3A%2F%2Ffee.org%2Fmedia%2F14934%2Freed_rendering_unto_caesar.pdf"
"Are We Rome? (PDF)",2,0,,,"https://fee.org/media/14973/arewerome.pdf","http://clicky.com/stats/visitors?site_id=100931785&date=2016-06-29&href=https%3A%2F%2Ffee.org%2Fmedia%2F14973%2Farewerome.pdf"
"tying with the teens across the rest of the country",2,0,,,"http://cdc.gov/healthyyouth/data/yrbs/pdf/2015/ss6506_updated.pdf","http://clicky.com/stats/visitors?site_id=100931785&date=2016-06-29&href=http%3A%2F%2Fcdc.gov%2Fhealthyyouth%2Fdata%2Fyrbs%2Fpdf%2F2015%2Fss6506_updated.pdf"
"Great Myths of the Great Depression (ePub)",2,0,,,"https://fee.org/media/14896/reed-greatmyths.epub","http://clicky.com/stats/visitors?site_id=100931785&date=2016-06-29&href=https%3A%2F%2Ffee.org%2Fmedia%2F14896%2Freed-greatmyths.epub"
"Audio",2,0,,,"http://fee-misc.s3.amazonaws.com/files/audioLib/I-Pencil-Full.mp3","http://clicky.com/stats/visitors?site_id=100931785&date=2016-06-29&href=http%3A%2F%2Ffee-misc.s3.amazonaws.com%2Ffiles%2FaudioLib%2FI-Pencil-Full.mp3"
"very little of the training",2,0,,,"http://ij.org/wp-content/uploads/2015/03/untangling-regulations.pdf","http://clicky.com/stats/visitors?site_id=100931785&date=2016-06-29&href=http%3A%2F%2Fij.org%2Fwp-content%2Fuploads%2F2015%2F03%2Funtangling-regulations.pdf"
"20130926_CommitLiberty",2,0,,,"https://fee.org/media/5094/20130926_commitliberty.mp3","http://clicky.com/stats/visitors?site_id=100931785&date=2016-06-29&href=https%3A%2F%2Ffee.org%2Fmedia%2F5094%2F20130926_commitliberty.mp3"
"teamed",2,0,,,"http://economics.cornell.edu/sites/default/files/files/events/peri+paper.pdf","http://clicky.com/stats/visitors?site_id=100931785&date=2016-06-29&href=http%3A%2F%2Feconomics.cornell.edu%2Fsites%2Fdefault%2Ffiles%2Ffiles%2Fevents%2Fperi%2Bpaper.pdf"
"1955 essay",2,0,,,"http://faculty.smu.edu/millimet/classes/eco4361/readings/friedman+1955.pdf","http://clicky.com/stats/visitors?site_id=100931785&date=2016-06-29&href=http%3A%2F%2Ffaculty.smu.edu%2Fmillimet%2Fclasses%2Feco4361%2Freadings%2Ffriedman%2B1955.pdf"
"research",2,0,,,"http://research.stlouisfed.org/wp/2010/2010-006.pdf","http://clicky.com/stats/visitors?site_id=100931785&date=2016-06-29&href=http%3A%2F%2Fresearch.stlouisfed.org%2Fwp%2F2010%2F2010-006.pdf"
